feature,mutual_info,lift_top,lift_bot,lift_spread,p_value,n_top_bin,n_bot_bin
bars_since_last_sweep_same_dir,0.0756,2.034,0.994,1.04,0.3535,356,1
bear_ob_0_age,0.0609,1.063,0.691,0.372,0.0823,60,245
n_active_bear_fvgs,0.0424,1.102,0.898,0.205,0.0723,179,179
entry_is_bullish,0.0397,1.069,0.934,0.136,0.2476,183,175
btc_macro_bias,0.0384,1.043,0.85,0.193,0.1736,279,79
weekly_range_position_pct,0.0359,1.261,0.622,0.639,0.0488,72,72
entry_lower_wick_pct,0.0335,1.102,0.802,0.3,0.9248,72,143
in_kill_zone,0.0328,1.187,0.979,0.207,0.3247,322,36
bull_ob_0_rvol,0.0288,1.203,0.937,0.267,0.2164,72,215
inducement_swept_recent,0.026,1.0,1.0,0.0,1.0,358,358
below_pdl,0.0256,1.012,0.98,0.033,0.853,221,137
bear_ob_0_mitigated,0.0251,2.034,0.997,1.037,0.9866,357,1
is_monday,0.0211,1.059,0.748,0.311,0.0326,290,68
daily_range_position_pct,0.0179,1.187,0.745,0.442,0.0987,72,72
bear_fvg_0_filled_pct,0.0158,1.06,0.763,0.297,0.1751,72,286
bull_ob_0_age,0.0146,1.167,0.961,0.206,0.6237,68,290
bars_since_sw_choch_dir,0.0143,1.134,0.895,0.239,0.7387,61,87
bear_ob_0_touches,0.0136,1.017,0.0,1.017,0.3781,354,2
n_active_bull_obs,0.0128,1.094,0.936,0.158,0.1807,213,145
bull_fvg_0_rvol,0.0075,1.074,0.974,0.099,0.3164,72,215
bars_since_int_choch_dir,0.0071,1.203,0.848,0.356,0.0086,71,73
swing_sweep_bullish,0.0004,1.0,1.0,0.0,1.0,358,358
draw_pct_to_opposite_zone,0.0,1.089,0.932,0.156,0.2223,72,72
inducement_magnitude_pct,0.0,1.0,1.0,0.0,1.0,358,358
zone_rejection_strength,0.0,1.102,0.888,0.214,0.8505,72,72
choch_displacement_atr,0.0,1.0,1.0,0.0,0.6716,358,358
entry_body_pct,0.0,1.102,0.848,0.254,0.9711,72,72
entry_upper_wick_pct,0.0,1.087,0.814,0.273,0.8438,72,72
choch_displacement_pct,0.0,1.0,1.0,0.0,0.896,358,358
volume_spike_at_choch,0.0,1.0,1.0,0.0,1.0,358,358
bear_fvg_0_rvol,0.0,1.06,0.876,0.184,0.0895,72,215
bull_ob_0_touches,0.0,2.034,0.997,1.037,0.595,353,1
bull_ob_0_mitigated,0.0,1.526,0.994,0.532,0.5915,354,4
htf_range_position_pct,0.0,1.089,0.932,0.156,0.8075,72,72
swing_range_position_pct,0.0,1.158,0.802,0.356,0.9016,72,72
atr_pct_rank,0.0,1.158,0.819,0.34,0.7483,61,72
bear_ob_0_rvol,0.0,1.11,0.888,0.221,0.6991,72,143
above_pdh,0.0,1.146,0.953,0.192,0.1579,271,87
n_active_bull_fvgs,0.0,1.038,0.974,0.064,0.6315,211,147
bull_fvg_0_filled_pct,0.0,1.0,1.0,0.0,0.2073,358,358
n_active_bear_obs,0.0,1.099,0.939,0.16,0.1811,221,137
internal_sweep_bullish,0.0,1.017,1.0,0.017,1.0,356,2
is_friday,0.0,1.017,0.998,0.019,1.0,314,44
internal_sweep_bearish,0.0,1.0,1.0,0.0,1.0,358,358
swing_sweep_bearish,0.0,1.0,1.0,0.0,1.0,358,358
