subsetup,feature,n,winrate,mutual_info,lift_top,lift_bot,lift_spread,p_value
HTF_ALIGN,bars_since_sw_choch_dir,154,0.506,0.0902,1.332,0.755,0.577,0.065
HTF_ALIGN,is_monday,154,0.506,0.0619,1.077,0.718,0.359,0.0978
HTF_ALIGN,is_friday,154,0.506,0.0553,1.215,0.98,0.235,0.5955
HTF_ALIGN,bear_fvg_0_filled_pct,154,0.506,0.0526,1.043,0.828,0.215,0.5803
HTF_ALIGN,n_active_bull_fvgs,154,0.506,0.0519,1.049,0.965,0.084,0.7228
HTF_ALIGN,btc_macro_bias,154,0.506,0.0495,1.097,0.694,0.403,0.0481
HTF_ALIGN,volume_spike_at_choch,154,0.506,0.0419,1.0,1.0,0.0,1.0
HTF_ALIGN,bear_ob_0_touches,154,0.506,0.0407,1.0,0.987,0.013,1.0
HTF_ALIGN,daily_range_position_pct,154,0.506,0.0272,1.146,0.79,0.357,0.3204
HTF_ALIGN,bars_since_int_choch_dir,154,0.506,0.0223,1.376,0.718,0.658,0.0264
HTF_ALIGN,internal_sweep_bearish,154,0.506,0.0199,1.0,1.0,0.0,1.0
HTF_ALIGN,weekly_range_position_pct,154,0.506,0.0074,1.274,0.637,0.637,0.188
HTF_ALIGN,bull_fvg_0_filled_pct,154,0.506,0.0058,1.0,1.0,0.0,0.6299
HTF_ALIGN,bear_ob_0_rvol,154,0.506,0.0018,1.019,0.987,0.032,0.3498
HTF_ALIGN,draw_pct_to_opposite_zone,154,0.506,0.0,1.083,0.921,0.161,0.5203
HTF_ALIGN,inducement_magnitude_pct,154,0.506,0.0,1.0,1.0,0.0,1.0
HTF_ALIGN,bars_since_last_sweep_same_dir,154,0.506,0.0,1.974,0.987,0.987,0.3726
HTF_ALIGN,inducement_swept_recent,154,0.506,0.0,1.0,1.0,0.0,1.0
HTF_ALIGN,choch_displacement_atr,154,0.506,0.0,1.0,1.0,0.0,0.8481
HTF_ALIGN,entry_is_bullish,154,0.506,0.0,1.042,0.963,0.079,0.7387
HTF_ALIGN,choch_displacement_pct,154,0.506,0.0,1.0,1.0,0.0,0.9666
HTF_ALIGN,entry_body_pct,154,0.506,0.0,1.146,0.892,0.255,0.5838
HTF_ALIGN,entry_upper_wick_pct,154,0.506,0.0,1.119,0.892,0.227,0.7648
HTF_ALIGN,entry_lower_wick_pct,154,0.506,0.0,1.25,0.828,0.422,0.4632
HTF_ALIGN,zone_rejection_strength,154,0.506,0.0,1.146,0.892,0.255,0.3246
HTF_ALIGN,bull_ob_0_rvol,154,0.506,0.0,1.146,0.944,0.202,0.2716
HTF_ALIGN,htf_range_position_pct,154,0.506,0.0,1.119,0.828,0.291,0.1416
HTF_ALIGN,atr_pct_rank,154,0.506,0.0,1.274,0.718,0.556,0.131
HTF_ALIGN,swing_range_position_pct,154,0.506,0.0,1.146,0.856,0.291,0.7213
HTF_ALIGN,bear_fvg_0_rvol,154,0.506,0.0,1.083,0.955,0.127,0.8484
HTF_ALIGN,bull_fvg_0_rvol,154,0.506,0.0,1.146,0.892,0.255,0.4295
HTF_ALIGN,bear_ob_0_mitigated,154,0.506,0.0,1.974,0.994,0.981,1.0
HTF_ALIGN,bull_ob_0_mitigated,154,0.506,0.0,1.974,0.987,0.987,0.4881
HTF_ALIGN,bull_ob_0_touches,154,0.506,0.0,1.974,0.987,0.987,0.6124
HTF_ALIGN,bear_ob_0_age,154,0.506,0.0,1.231,0.52,0.712,0.0447
HTF_ALIGN,bull_ob_0_age,154,0.506,0.0,1.116,0.948,0.168,0.6134
HTF_ALIGN,n_active_bull_obs,154,0.506,0.0,1.087,0.929,0.158,0.4082
HTF_ALIGN,below_pdl,154,0.506,0.0,1.053,0.966,0.087,0.7136
HTF_ALIGN,above_pdh,154,0.506,0.0,1.059,0.978,0.081,0.789
HTF_ALIGN,n_active_bear_fvgs,154,0.506,0.0,1.028,0.975,0.053,0.8652
HTF_ALIGN,n_active_bear_obs,154,0.506,0.0,1.077,0.942,0.135,0.4999
HTF_ALIGN,internal_sweep_bullish,154,0.506,0.0,1.007,0.0,1.007,0.9896
HTF_ALIGN,in_kill_zone,154,0.506,0.0,1.009,0.94,0.069,0.9489
HTF_ALIGN,swing_sweep_bullish,154,0.506,0.0,1.0,1.0,0.0,1.0
HTF_ALIGN,swing_sweep_bearish,154,0.506,0.0,1.0,1.0,0.0,1.0
HTF_CONF,n_active_bear_obs,199,0.482,0.0655,1.096,0.948,0.148,0.4171
HTF_CONF,in_kill_zone,199,0.482,0.0517,1.52,0.958,0.563,0.0795
HTF_CONF,n_active_bull_obs,199,0.482,0.0495,1.078,0.953,0.125,0.4972
HTF_CONF,entry_body_pct,199,0.482,0.0408,1.244,0.744,0.5,0.5354
HTF_CONF,choch_displacement_pct,199,0.482,0.0387,1.0,1.0,0.0,0.8214
HTF_CONF,bars_since_sw_choch_dir,199,0.482,0.0365,1.296,0.851,0.444,0.0587
HTF_CONF,is_monday,199,0.482,0.0345,1.049,0.77,0.279,0.2073
HTF_CONF,bear_ob_0_age,199,0.482,0.0337,1.094,0.691,0.403,0.5477
HTF_CONF,btc_macro_bias,199,0.482,0.0311,1.004,0.985,0.019,1.0
HTF_CONF,above_pdh,199,0.482,0.0274,1.198,0.942,0.255,0.1985
HTF_CONF,entry_lower_wick_pct,199,0.482,0.0269,1.14,0.726,0.415,0.3228
HTF_CONF,bull_fvg_0_rvol,199,0.482,0.0269,1.088,0.933,0.155,0.546
HTF_CONF,inducement_swept_recent,199,0.482,0.0268,1.0,1.0,0.0,1.0
HTF_CONF,bear_fvg_0_filled_pct,199,0.482,0.0262,1.082,0.674,0.408,0.0209
HTF_CONF,bear_ob_0_mitigated,199,0.482,0.0249,1.0,1.0,0.0,1.0
HTF_CONF,bars_since_int_choch_dir,199,0.482,0.0235,1.088,0.888,0.2,0.1873
HTF_CONF,atr_pct_rank,199,0.482,0.02,1.225,0.726,0.499,0.4007
HTF_CONF,is_friday,199,0.482,0.0197,1.012,0.929,0.083,0.8438
HTF_CONF,volume_spike_at_choch,199,0.482,0.0176,1.0,1.0,0.0,1.0
HTF_CONF,entry_upper_wick_pct,199,0.482,0.0172,1.14,0.691,0.449,0.6685
HTF_CONF,entry_is_bullish,199,0.482,0.0052,1.077,0.919,0.158,0.3498
HTF_CONF,swing_range_position_pct,199,0.482,0.0027,1.244,0.777,0.466,0.5286
HTF_CONF,internal_sweep_bearish,199,0.482,0.002,1.0,1.0,0.0,1.0
HTF_CONF,bear_ob_0_rvol,199,0.482,0.0014,1.088,0.85,0.238,0.3929
HTF_CONF,draw_pct_to_opposite_zone,199,0.482,0.0,1.14,0.829,0.311,0.2507
HTF_CONF,choch_displacement_atr,199,0.482,0.0,1.0,1.0,0.0,0.6546
HTF_CONF,bars_since_last_sweep_same_dir,199,0.482,0.0,1.0,1.0,0.0,1.0
HTF_CONF,inducement_magnitude_pct,199,0.482,0.0,1.0,1.0,0.0,1.0
HTF_CONF,zone_rejection_strength,199,0.482,0.0,1.192,0.777,0.415,0.3726
HTF_CONF,bear_fvg_0_rvol,199,0.482,0.0,1.097,0.777,0.32,0.0579
HTF_CONF,bull_ob_0_mitigated,199,0.482,0.0,1.036,1.0,0.037,1.0
HTF_CONF,bull_ob_0_touches,199,0.482,0.0,1.036,1.0,0.037,1.0
HTF_CONF,bear_ob_0_touches,199,0.482,0.0,1.01,0.0,1.01,0.5085
